"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.772761625E0,-8.774154663E0,1.481560135E1,-5.021749878E1
9.822373625E0,-8.846862793E0,1.513786697E1,-4.989805603E1
9.871986625E0,-8.766937256E0,1.479684067E1,-5.022518921E1
9.921598625E0,-8.724777222E0,1.503004837E1,-4.942361450E1
9.971211625E0,-8.333114624E0,1.519693375E1,-4.979980469E1
1.002082362E1,-8.380706787E0,1.528129959E1,-4.950079346E1
1.007043662E1,-8.749511719E0,1.566882706E1,-4.954939270E1
1.012004862E1,-8.959976196E0,1.581181717E1,-4.912933350E1
1.016966200E1,-9.247787476E0,1.553739548E1,-4.993400574E1
1.021927400E1,-8.761703491E0,1.581677628E1,-4.952523804E1
1.026888700E1,-8.653808594E0,1.607301712E1,-4.952868652E1
1.031849900E1,-8.469253540E0,1.581526566E1,-4.933685303E1
1.036811200E1,-8.912490845E0,1.621397018E1,-4.957260132E1
1.041772400E1,-8.850799561E0,1.591769028E1,-4.952670288E1
1.046733700E1,-8.759078979E0,1.622021103E1,-4.920649719E1
1.051694900E1,-8.991622925E0,1.616478348E1,-4.914074707E1
1.056656100E1,-8.812988281E0,1.582569504E1,-4.885850525E1
1.061617400E1,-9.063400269E0,1.621017075E1,-4.931390381E1
1.066578600E1,-8.789001465E0,1.627858353E1,-4.915844727E1
1.071539900E1,-8.658065796E0,1.658035660E1,-4.869505310E1
1.076501100E1,-8.446899414E0,1.656306076E1,-4.959753418E1
1.081462400E1,-8.560485840E0,1.698211288E1,-4.898657227E1
1.086423600E1,-8.406448364E0,1.660172653E1,-4.882070923E1
1.091384900E1,-8.454345703E0,1.683371353E1,-4.886405945E1
1.096346100E1,-8.457687378E0,1.728770828E1,-4.841197205E1
1.101307400E1,-9.218826294E0,1.717721939E1,-4.909724426E1
1.106268600E1,-8.377426147E0,1.745759201E1,-4.922354126E1
1.111229900E1,-8.296676636E0,1.722704697E1,-4.916596985E1
1.116191029E1,-8.442703247E0,1.762892532E1,-4.892758179E1
1.121152329E1,-8.766632080E0,1.726941299E1,-4.957283020E1
1.126113529E1,-8.729385376E0,1.766592789E1,-4.910833740E1
1.131074829E1,-8.592819214E0,1.718623734E1,-4.895404053E1
1.136036029E1,-8.770584106E0,1.748999405E1,-4.870483398E1
1.140997229E1,-8.722564697E0,1.722873306E1,-4.918742371E1
1.145958529E1,-8.231796265E0,1.719335556E1,-4.905415344E1
1.150919729E1,-8.233688354E0,1.723716354E1,-4.864924622E1
1.155881029E1,-8.009460449E0,1.743694687E1,-4.922601318E1
1.160842229E1,-7.750198364E0,1.732308578E1,-4.866387939E1
1.165803529E1,-7.916854858E0,1.753985977E1,-4.876657104E1
1.170764729E1,-7.892547607E0,1.745862198E1,-4.918852234E1
1.175726029E1,-8.198593140E0,1.772612381E1,-4.892803955E1
1.180687229E1,-7.992355347E0,1.747776413E1,-4.935308838E1
1.185648529E1,-7.853790283E0,1.752085495E1,-4.879541016E1
1.190609729E1,-7.776473999E0,1.729272842E1,-4.886614990E1
1.195570929E1,-8.372634888E0,1.757265854E1,-4.882490540E1
1.200532229E1,-8.004165649E0,1.746113968E1,-4.926849365E1
1.205493429E1,-7.712860107E0,1.726990128E1,-4.919390869E1
1.210454729E1,-8.040176392E0,1.775569534E1,-4.869075012E1
1.215416012E1,-7.815826416E0,1.724225235E1,-4.873364258E1
1.220377312E1,-8.160964966E0,1.756311417E1,-4.851194763E1
1.225338512E1,-7.907836914E0,1.735753250E1,-4.938925171E1
1.230299712E1,-7.946578979E0,1.760211563E1,-4.894390869E1
1.235261012E1,-8.267913818E0,1.735490799E1,-4.906260681E1
1.240222212E1,-8.743057251E0,1.758665848E1,-4.915223694E1
1.245183512E1,-8.741302490E0,1.719273758E1,-4.914274597E1
1.250144712E1,-8.399612427E0,1.783501053E1,-4.885530090E1
1.255106012E1,-8.159011841E0,1.772936630E1,-4.930223083E1
1.260067213E1,-8.053558350E0,1.761974716E1,-4.883926392E1
1.265028513E1,-8.314331055E0,1.719821548E1,-4.883944702E1
1.269989713E1,-8.724365234E0,1.740329361E1,-4.864985657E1
1.274950913E1,-8.610519409E0,1.734131241E1,-4.908311462E1
1.279912213E1,-8.543945312E0,1.747664261E1,-4.907489014E1
1.284873413E1,-8.320220947E0,1.749954605E1,-4.918597412E1
1.289834712E1,-7.983444214E0,1.760400772E1,-4.931161499E1
