"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.754406167E0,2.588813782E0,1.388488770E1,-4.933435059E1
7.804409167E0,2.729011536E0,1.390728760E1,-4.889953613E1
7.854412167E0,2.759483337E0,1.380744934E1,-4.933966064E1
7.904415167E0,2.688625336E0,1.367765808E1,-4.895269775E1
7.954417167E0,2.610519409E0,1.367002869E1,-4.878057861E1
8.004420167E0,2.687854767E0,1.362858582E1,-4.893157959E1
8.054423167E0,2.776412964E0,1.361570740E1,-4.911999512E1
8.104426167E0,2.867858887E0,1.360565186E1,-4.891162109E1
8.154429167E0,2.828350067E0,1.344024658E1,-4.910308838E1
8.204432167E0,2.748310089E0,1.344094849E1,-4.916210938E1
8.254434917E0,2.706539154E0,1.347279358E1,-4.867736816E1
8.304437917E0,2.795898438E0,1.357113647E1,-4.886303711E1
8.354440917E0,2.615390778E0,1.354206848E1,-4.909844971E1
8.404443917E0,2.546882629E0,1.342100525E1,-4.901458740E1
8.454445917E0,2.694408417E0,1.334063721E1,-4.888238525E1
8.504448917E0,2.385913849E0,1.349443054E1,-4.944396973E1
8.554451917E0,2.400276184E0,1.348866272E1,-4.902178955E1
8.604454917E0,2.435409546E0,1.345599365E1,-4.908142090E1
8.654457917E0,2.161571503E0,1.339637756E1,-4.904486084E1
8.704460917E0,2.341846466E0,1.338928223E1,-4.938592529E1
8.754463917E0,2.189434052E0,1.319250488E1,-4.930969238E1
8.804466917E0,2.417198181E0,1.332879639E1,-4.924542236E1
8.854468917E0,2.468063354E0,1.332177734E1,-4.874761963E1
8.904471917E0,2.227012634E0,1.348020935E1,-4.917681885E1
8.954474917E0,2.397617340E0,1.351275635E1,-4.925170898E1
9.004477917E0,2.337654114E0,1.351066589E1,-4.887646484E1
9.054480917E0,2.379219055E0,1.359240723E1,-4.901416016E1
9.104483917E0,2.410514832E0,1.345297241E1,-4.903582764E1
9.154486917E0,2.359592438E0,1.341926575E1,-4.900061035E1
9.204489917E0,2.471618652E0,1.352067566E1,-4.905175781E1
9.254491792E0,2.205425262E0,1.360000610E1,-4.917706299E1
9.304494792E0,2.209774017E0,1.353425598E1,-4.922198486E1
9.354497792E0,2.220386505E0,1.350569153E1,-4.896051025E1
9.404500792E0,2.243370056E0,1.353588867E1,-4.895458984E1
9.454503792E0,2.051856995E0,1.363305664E1,-4.910736084E1
9.504506792E0,1.962360382E0,1.363563538E1,-4.903240967E1
9.554509792E0,2.162548065E0,1.366673279E1,-4.894042969E1
9.604511792E0,2.051197052E0,1.359655762E1,-4.899255371E1
9.654514792E0,2.044242859E0,1.365029907E1,-4.916107178E1
9.704517792E0,2.138492584E0,1.350915527E1,-4.895092773E1
9.754520792E0,2.239269257E0,1.365214539E1,-4.905120850E1
9.804523792E0,2.115875244E0,1.359994507E1,-4.912957764E1
9.854526792E0,2.155803680E0,1.358984375E1,-4.907281494E1
9.904528792E0,2.230506897E0,1.355047607E1,-4.910101318E1
9.954531792E0,2.097305298E0,1.366786194E1,-4.905267334E1
1.000453479E1,2.001884460E0,1.350936890E1,-4.904443359E1
1.005453779E1,2.283351898E0,1.360639954E1,-4.904187012E1
1.010454079E1,2.309524536E0,1.360551453E1,-4.892462158E1
1.015454379E1,2.276386261E0,1.346543884E1,-4.920361328E1
1.020454579E1,2.408538818E0,1.342483521E1,-4.923980713E1
1.025454871E1,2.323291779E0,1.349478149E1,-4.914923096E1
1.030455171E1,2.308055878E0,1.342796326E1,-4.915979004E1
1.035455471E1,2.384628296E0,1.359585571E1,-4.901324463E1
1.040455771E1,2.500446320E0,1.359652710E1,-4.888696289E1
1.045455971E1,2.551788330E0,1.362266541E1,-4.889868164E1
1.050456271E1,2.595111847E0,1.337698364E1,-4.887133789E1
1.055456571E1,2.577667236E0,1.337203979E1,-4.910418701E1
1.060456871E1,2.294204712E0,1.333851624E1,-4.920965576E1
1.065457171E1,2.260192871E0,1.345947266E1,-4.869140625E1
1.070457371E1,2.165946960E0,1.351823425E1,-4.901141357E1
1.075457671E1,2.269157410E0,1.348341370E1,-4.908789062E1
1.080457971E1,2.046913147E0,1.345762634E1,-4.889471436E1
1.085458271E1,2.110889435E0,1.347265625E1,-4.876501465E1
1.090458571E1,2.217887878E0,1.349182129E1,-4.909460449E1
1.095458871E1,2.231662750E0,1.356039429E1,-4.865380859E1
