"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.213301946E1,6.955413818E-1,1.327319336E1,-5.153421021E1
1.218333246E1,6.444244385E-1,1.313910675E1,-5.171060181E1
1.223364546E1,6.797790527E-1,1.325858307E1,-5.173358154E1
1.228395846E1,8.054504395E-1,1.326633453E1,-5.113937378E1
1.233427146E1,5.567626953E-1,1.298628998E1,-5.152420044E1
1.238458446E1,8.288726807E-1,1.312841797E1,-5.127984619E1
1.243489746E1,5.880737305E-1,1.334096527E1,-5.157565308E1
1.248520946E1,5.580596924E-1,1.312085724E1,-5.221780396E1
1.253552246E1,4.916534424E-1,1.297380066E1,-5.155581665E1
1.258583546E1,5.944061279E-1,1.315174866E1,-5.177291870E1
1.263614846E1,4.430236816E-1,1.341754913E1,-5.198263550E1
1.268646146E1,9.134063721E-1,1.303620148E1,-5.179244995E1
1.273677446E1,6.380157471E-1,1.319537354E1,-5.170684814E1
1.278708746E1,5.990905762E-1,1.323090363E1,-5.166851807E1
1.283740046E1,7.342224121E-1,1.313154602E1,-5.159033203E1
1.288771346E1,5.351867676E-1,1.348791504E1,-5.178051758E1
1.293802646E1,8.632659912E-1,1.304983521E1,-5.183297729E1
1.298833846E1,6.885986328E-1,1.321692657E1,-5.119442749E1
1.303865146E1,5.939636230E-1,1.327970886E1,-5.187213135E1
1.308896446E1,6.287994385E-1,1.344510651E1,-5.138204956E1
1.313927746E1,6.897583008E-1,1.372594452E1,-5.152966309E1
1.318959046E1,5.510406494E-1,1.371822357E1,-5.171667480E1
1.323990346E1,6.120910645E-1,1.375209808E1,-5.100973511E1
1.329021646E1,7.882995605E-1,1.393129730E1,-5.160360718E1
1.334052946E1,8.119049072E-1,1.388338470E1,-5.160882568E1
1.339084246E1,9.420776367E-1,1.392702484E1,-5.124780273E1
1.344115446E1,9.954986572E-1,1.407790375E1,-5.146865845E1
1.349146746E1,1.211990356E0,1.399332428E1,-5.117190552E1
1.354178046E1,9.864044189E-1,1.402896881E1,-5.140017700E1
1.359209346E1,9.020843506E-1,1.372088623E1,-5.157473755E1
1.364240646E1,8.048400879E-1,1.383032990E1,-5.153924561E1
1.369271946E1,5.607299805E-1,1.351737976E1,-5.136373901E1
1.374303254E1,6.354980469E-1,1.379072571E1,-5.111511230E1
1.379334554E1,4.553985596E-1,1.345870972E1,-5.156924438E1
1.384365754E1,7.417297363E-1,1.370599365E1,-5.178775024E1
1.389397054E1,7.155303955E-1,1.341204834E1,-5.169354248E1
1.394428354E1,6.890258789E-1,1.366589355E1,-5.166384888E1
1.399459654E1,5.211029053E-1,1.359427643E1,-5.172879028E1
